data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-12-28,202553,6.0,6,6,6,0.108289726,8.100664,0,1,352710820255320608,2026-06-04,Lins,,0.5495322,74068,23.2066,93.5115714285714,1,0,0,73.4962857142857,50.9418571428571,27.5090142857143,32.4200428571429,0,,,,,5102
2025-12-21,202552,10.0,10,10,10,0.23924538,13.501107,0,1,352710820255220608,2026-06-04,Lins,,0.74860275,74068,23.2492285714286,82.1226142857143,1,0,1,62.0446,45.2851285714286,28.0238714285714,32.7035285714286,0,,,,,5102
2025-12-14,202551,10.0,10,10,10,0.14828357,13.501107,0,1,352710820255120608,2026-06-04,Lins,,0.6610917,74068,21.5808,89.9761,0,0,1,78.7569142857143,65.9172571428571,24.4119285714286,27.7337857142857,0,,,,,5102
2025-12-07,202550,13.0,13,13,13,0.37817487,17.55144,0,1,352710820255020608,2026-06-04,Lins,,0.8900921,74068,22.0335142857143,89.0728142857143,1,0,1,74.1015857142857,58.4529571428571,25.3758571428571,29.1999857142857,0,,,,,5102
2025-11-30,202549,18.0,18,18,18,0.7479202,24.301992,0,1,352710820254920608,2026-06-04,Lins,,1.2623203,74068,22.3529428571429,80.3416714285714,1,0,1,61.5767142857143,41.5148428571429,27.1052571428571,32.6013285714286,1,,,,,5102
2025-11-23,202548,15.0,15,15,15,0.4603848,20.251661,0,1,352710820254820608,2026-06-04,Lins,,0.9651142,74068,18.8263142857143,84.4968,0,0,1,61.2655714285714,40.3526428571429,24.2233285714286,29.7396,0,,,,,5102
2025-11-16,202547,10.0,10,10,10,0.11845593,13.501107,0,1,352710820254720608,2026-06-04,Lins,,0.6291582,74068,19.7821,82.5313428571429,0,0,1,62.3860571428571,41.0316285714286,24.6522142857143,30.1755857142857,2,,,,,5102
2025-11-09,202546,20.0,20,20,20,0.73268497,27.002214,0,1,352710820254620608,2026-06-04,Lins,,1.2266384,74068,19.6091,77.6320285714286,0,0,1,59.3269,40.4326,24.7915142857143,30.4488,0,,,,,5102
2025-11-02,202545,14.0,14,14,14,0.27263758,18.90155,0,1,352710820254520608,2026-06-04,Lins,,0.8074857,74068,20.9943857142857,91.6448428571429,0,0,1,75.0114714285714,56.9516857142857,24.8689571428571,29.4566571428571,2,,,,,5102
2025-10-26,202544,16.0,16,16,16,0.39414126,21.60177,0,1,352710820254420608,2026-06-04,Lins,,0.91243064,74068,20.3429285714286,84.5226857142857,0,0,1,66.8512857142857,50.2150142857143,24.7473857142857,29.1200428571429,0,,,,,5102
2025-10-19,202543,18.0,18,18,18,0.61624783,24.301992,0,1,352710820254320608,2026-06-04,Lins,,1.1049632,74068,16.4247142857143,68.9517571428571,0,0,1,46.8674714285714,28.5414857142857,22.2332285714286,28.5847571428571,0,,,,,5102
2025-10-12,202542,19.0,19,19,19,0.7804516,25.652103,0,1,352710820254220608,2026-06-04,Lins,,1.3032663,74068,21.1443571428571,83.7136857142857,0,0,1,66.5598428571429,46.3189714285714,25.6186,30.6911142857143,0,,,,,5102
2025-10-05,202541,16.0,16,16,16,0.67213887,21.60177,0,1,352710820254120608,2026-06-04,Lins,,1.1756539,74068,20.7141285714286,71.2828714285714,0,0,1,53.5373857142857,35.6808142857143,26.0939285714286,32.3742857142857,1,,,,,5102
2025-09-28,202540,15.0,15,15,15,0.49804354,20.251661,0,1,352710820254020608,2026-06-04,Lins,,0.99823636,74068,21.3832142857143,62.0032571428571,0,0,1,39.2149,20.6761142857143,28.0352285714286,34.9912142857143,0,,,,,5102
2025-09-21,202539,12.0,12,12,12,0.13542907,16.201328,0,1,352710820253920608,2026-06-04,Lins,,0.66970634,74068,18.1584857142857,76.2678285714286,0,0,1,56.0147,37.2920571428571,23.8656428571429,29.9907,0,,,,,5102
2025-09-14,202538,13.0,13,13,13,0.19672945,17.55144,0,1,352710820253820608,2026-06-04,Lins,,0.73650455,74068,18.8384857142857,73.3172142857143,0,0,1,45.5289571428571,25.4782,25.8521,33.0953857142857,1,,,,,5102
2025-09-07,202537,20.0,20,20,20,0.8850284,27.002214,0,1,352710820253720608,2026-06-04,Lins,,1.5156847,74068,18.5841714285714,65.2722,0,0,1,41.8243571428571,22.8071142857143,25.3083,32.3756571428571,0,,,,,5102
2025-08-31,202536,23.0,23,23,23,0.99281394,31.052546,0,1,352710820253620608,2026-06-04,Lins,,2.4322672,74068,18.8883142857143,63.7668428571429,0,1,1,43.5705,27.0008714285714,24.7680285714286,31.1568857142857,0,,,,,5102
2025-08-24,202535,10.0,10,10,10,0.60112745,13.501107,0,1,352710820253520608,2026-06-04,Lins,,1.1222923,74068,17.2327857142857,77.4299428571429,0,0,1,53.4901,32.2870714285714,23.4546428571429,29.9552857142857,0,,,,,5102
2025-08-17,202534,9.0,9,9,9,0.3598718,12.150996,0,1,352710820253420608,2026-06-04,Lins,,0.8529163,74068,18.3021857142857,65.9742142857143,0,0,1,43.5777714285714,22.4576857142857,24.7744142857143,32.3756285714286,0,,,,,5102
2025-08-10,202533,6.0,6,6,6,0.07630075,8.100664,0,1,352710820253320608,2026-06-04,Lins,,0.50669855,74068,11.1254,76.7781857142857,0,0,0,49.1308285714286,25.9609142857143,17.8080857142857,25.5676428571429,0,,,,,5102
2025-08-03,202532,13.0,13,13,13,0.50141746,17.55144,0,1,352710820253220608,2026-06-04,Lins,,1.0013728,74068,14.9473571428571,73.7127714285714,0,0,1,54.4176857142857,32.6389428571429,19.9528571428571,25.9005,0,,,,,5102
